matchID,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Innings
T202100,LSG Vs PBKS,PBKS,Arshdeep Singh,4,0,43,3,10.75,8,6,1,2,0,1st Innings
T202100,LSG Vs PBKS,PBKS,Lockie Ferguson,3,0,26,1,8.66,7,1,2,1,0,1st Innings
T202100,LSG Vs PBKS,PBKS,Glenn Maxwell,3,0,22,1,7.33,8,4,0,0,0,1st Innings
T202100,LSG Vs PBKS,PBKS,Marco Jansen,4,0,28,1,7.00,9,0,2,1,0,1st Innings
T202100,LSG Vs PBKS,PBKS,Marcus Stoinis,2,0,15,0,7.50,5,1,1,0,0,1st Innings
T202100,LSG Vs PBKS,PBKS,Yuzvendra Chahal,4,0,36,1,9.00,8,3,2,0,0,1st Innings
T202100,LSG Vs PBKS,LSG,Shardul Thakur,3,0,39,0,13.00,6,2,4,1,0,2nd Innings
T202100,LSG Vs PBKS,LSG,Avesh Khan,3,0,30,0,10.00,5,2,2,1,0,2nd Innings
T202100,LSG Vs PBKS,LSG,Digvesh Rathi,4,0,30,2,7.50,10,5,0,0,0,2nd Innings
T202100,LSG Vs PBKS,LSG,Ravi Bishnoi,3,0,43,0,14.33,6,5,3,0,0,2nd Innings
T202100,LSG Vs PBKS,LSG,Manimaran Siddharth,3,0,28,0,9.33,3,2,1,1,0,2nd Innings
T202100,LSG Vs PBKS,LSG,Abdul Samad,0.2,0,6,0,18.00,1,0,1,0,0,2nd Innings
T207040,KKR Vs MI,MI,Trent Boult,4,0,23,1,5.75,14,0,2,0,0,1st Innings
T207040,KKR Vs MI,MI,Deepak Chahar,2,0,19,2,9.50,6,4,0,1,0,1st Innings
T207040,KKR Vs MI,MI,Ashwani Kumar,3,0,24,4,8.00,10,3,1,1,1,1st Innings
T207040,KKR Vs MI,MI,Hardik Pandya,2,0,10,1,5.00,6,1,0,0,0,1st Innings
T207040,KKR Vs MI,MI,Vignesh Puthur,2,0,21,1,10.50,4,1,2,0,0,1st Innings
T207040,KKR Vs MI,MI,Mitchell Santner,3.2,0,17,1,5.10,12,0,1,1,0,1st Innings
T207040,KKR Vs MI,KKR,Spencer Johnson,2,0,14,0,7.00,7,1,1,0,0,2nd Innings
T207040,KKR Vs MI,KKR,Harshit Rana,2,0,28,0,14.00,5,2,2,1,1,2nd Innings
T207040,KKR Vs MI,KKR,Varun Chakravarthy,3,0,12,0,4.00,9,1,0,0,0,2nd Innings
T207040,KKR Vs MI,KKR,Andre Russell,2.5,0,35,2,12.35,4,2,3,0,1,2nd Innings
T207040,KKR Vs MI,KKR,Sunil Narine,3,0,32,0,10.66,5,1,3,0,0,2nd Innings
T204583,RR Vs CSK,CSK,Khaleel Ahmed,4,0,38,2,9.50,12,5,2,1,0,1st Innings
T204583,RR Vs CSK,CSK,Jamie Overton,2,0,30,0,15.00,2,3,2,0,0,1st Innings
T204583,RR Vs CSK,CSK,Ravichandran Ashwin,4,0,46,1,11.50,6,4,3,1,0,1st Innings
T204583,RR Vs CSK,CSK,Noor Ahmad,4,0,28,2,7.00,9,2,1,1,0,1st Innings
T204583,RR Vs CSK,CSK,Matheesha Pathirana,4,0,28,2,7.00,11,1,1,4,0,1st Innings
T204583,RR Vs CSK,CSK,Ravindra Jadeja,2,0,10,1,5.00,3,0,0,0,0,1st Innings
T204583,RR Vs CSK,RR,Jofra Archer,3,1,13,1,4.33,13,1,1,0,0,2nd Innings
T204583,RR Vs CSK,RR,Tushar Deshpande,4,0,45,0,11.25,8,4,2,2,0,2nd Innings
T204583,RR Vs CSK,RR,Sandeep Sharma,4,0,42,1,10.50,2,4,1,1,0,2nd Innings
T204583,RR Vs CSK,RR,Maheesh Theekshana,4,0,30,0,7.50,4,2,0,0,0,2nd Innings
T204583,RR Vs CSK,RR,Wanindu Hasaranga,4,0,35,4,8.75,12,1,4,0,0,2nd Innings
T204583,RR Vs CSK,RR,Kumar Kartikeya,1,0,10,0,10.00,2,2,0,0,0,2nd Innings
T209474,SRH Vs DC,DC,Mitchell Starc,3.4,0,35,5,9.54,12,4,1,1,1,1st Innings
T209474,SRH Vs DC,DC,Mukesh Kumar,2,0,17,0,8.50,3,2,0,2,0,1st Innings
T209474,SRH Vs DC,DC,Axar Patel,4,0,43,0,10.75,7,2,4,0,0,1st Innings
T209474,SRH Vs DC,DC,Vipraj Nigam,2,0,21,0,10.50,2,1,1,1,1,1st Innings
T209474,SRH Vs DC,DC,Mohit Sharma,3,0,25,1,8.33,4,3,0,1,0,1st Innings
T209474,SRH Vs DC,DC,Kuldeep Yadav,4,0,22,3,5.50,13,0,2,0,0,1st Innings
T209474,SRH Vs DC,SRH,Mohammed Shami,3,0,31,0,10.33,7,3,2,1,0,2nd Innings
T209474,SRH Vs DC,SRH,Abhishek Sharma,3,0,27,0,9.00,4,1,2,0,0,2nd Innings
T209474,SRH Vs DC,SRH,Pat Cummins,2,0,27,0,13.50,2,3,1,0,0,2nd Innings
T209474,SRH Vs DC,SRH,Harshal Patel,3,0,17,0,5.66,7,1,0,1,0,2nd Innings
T209474,SRH Vs DC,SRH,Zeeshan Ansari,4,0,42,3,10.50,5,4,2,0,0,2nd Innings
T209474,SRH Vs DC,SRH,Wiaan Mulder,1,0,16,0,16.00,1,2,1,0,0,2nd Innings
T201002,GT Vs MI,MI,Trent Boult,4,0,34,1,8.50,6,3,1,0,0,1st Innings
T201002,GT Vs MI,MI,Deepak Chahar,4,0,39,1,9.75,9,2,2,2,0,1st Innings
T201002,GT Vs MI,MI,Mujeeb Ur Rahman,2,0,28,1,14.00,4,3,1,1,0,1st Innings
T201002,GT Vs MI,MI,Hardik Pandya,4,0,29,2,7.25,8,1,1,3,0,1st Innings
T201002,GT Vs MI,MI,Mitchell Santner,3,0,25,0,8.33,5,2,1,0,0,1st Innings
T201002,GT Vs MI,MI,Satyanarayana Raju,3,0,40,1,13.33,4,2,3,4,0,1st Innings
T201002,GT Vs MI,GT,Mohammed Siraj,4,0,34,2,8.50,12,3,2,2,0,2nd Innings
T201002,GT Vs MI,GT,Kagiso Rabada,4,0,42,1,10.50,6,4,2,1,0,2nd Innings
T201002,GT Vs MI,GT,Ishant Sharma,2,0,17,0,8.50,5,1,1,2,0,2nd Innings
T201002,GT Vs MI,GT,Rashid Khan,2,0,10,0,5.00,4,0,0,1,0,2nd Innings
T201002,GT Vs MI,GT,Sai Kishore,4,0,37,1,9.25,6,2,2,1,0,2nd Innings
T201002,GT Vs MI,GT,Prasidh Krishna,4,0,18,2,4.50,14,2,0,0,0,2nd Innings
T201975,RCB Vs CSK,CSK,Khaleel Ahmed,4,0,28,1,7.00,13,5,0,0,0,1st Innings
T201975,RCB Vs CSK,CSK,Ravichandran Ashwin,2,0,22,1,11.00,3,2,1,1,0,1st Innings
T201975,RCB Vs CSK,CSK,Sam Curran,3,0,34,0,11.33,8,0,4,2,0,1st Innings
T201975,RCB Vs CSK,CSK,Noor Ahmad,4,0,36,3,9.00,7,1,3,1,0,1st Innings
T201975,RCB Vs CSK,CSK,Ravindra Jadeja,3,0,37,0,12.33,5,4,2,1,0,1st Innings
T201975,RCB Vs CSK,CSK,Matheesha Pathirana,4,0,36,2,9.00,10,3,2,3,0,1st Innings
T201975,RCB Vs CSK,RCB,Bhuvneshwar Kumar,3,0,20,1,6.66,9,3,0,1,0,2nd Innings
T201975,RCB Vs CSK,RCB,Josh Hazlewood,4,0,21,3,5.25,15,4,0,0,0,2nd Innings
T201975,RCB Vs CSK,RCB,Yash Dayal,3,0,18,2,6.00,6,2,0,0,0,2nd Innings
T201975,RCB Vs CSK,RCB,Liam Livingstone,4,0,28,2,7.00,5,2,0,0,0,2nd Innings
T201975,RCB Vs CSK,RCB,Suyash Sharma,4,0,32,0,8.00,10,2,2,1,0,2nd Innings
T201975,RCB Vs CSK,RCB,Krunal Pandya,2,0,26,0,13.00,4,2,2,0,0,2nd Innings
T201052,SRH Vs LSG,LSG,Shardul Thakur,4,0,34,4,8.50,11,3,2,2,0,1st Innings
T201052,SRH Vs LSG,LSG,Avesh Khan,4,0,45,1,11.25,5,3,3,0,0,1st Innings
T201052,SRH Vs LSG,LSG,Digvesh Rathi,4,0,40,1,10.00,8,1,3,0,1,1st Innings
T201052,SRH Vs LSG,LSG,Ravi Bishnoi,4,0,42,1,10.50,8,1,4,0,0,1st Innings
T201052,SRH Vs LSG,LSG,Prince Yadav,4,0,29,1,7.25,7,2,0,4,0,1st Innings
T201052,SRH Vs LSG,SRH,Abhishek Sharma,2,0,20,0,10.00,5,1,2,0,0,2nd Innings
T201052,SRH Vs LSG,SRH,Mohammed Shami,3,0,37,1,12.33,5,3,2,1,0,2nd Innings
T201052,SRH Vs LSG,SRH,Simarjeet Singh,2,0,28,0,14.00,5,2,3,0,0,2nd Innings
T201052,SRH Vs LSG,SRH,Pat Cummins,3,0,29,2,9.66,9,5,0,3,0,2nd Innings
T201052,SRH Vs LSG,SRH,Adam Zampa,4,0,46,1,11.50,3,3,3,1,0,2nd Innings
T201052,SRH Vs LSG,SRH,Harshal Patel,2,0,28,1,14.00,2,3,1,4,0,2nd Innings
T201052,SRH Vs LSG,SRH,Ishan Kishan,0.1,0,4,0,24.00,0,1,0,0,0,2nd Innings
T209933,RR Vs KKR,KKR,Spencer Johnson,4,0,42,1,10.50,9,4,2,3,0,1st Innings
T209933,RR Vs KKR,KKR,Vaibhav Arora,4,0,33,2,8.25,9,2,2,1,0,1st Innings
T209933,RR Vs KKR,KKR,Harshit Rana,4,0,36,2,9.00,11,4,2,0,0,1st Innings
T209933,RR Vs KKR,KKR,Moeen Ali,4,0,23,2,5.75,5,1,0,0,0,1st Innings
T209933,RR Vs KKR,KKR,Varun Chakravarthy,4,0,17,2,4.25,13,0,1,0,0,1st Innings
T209933,RR Vs KKR,RR,Jofra Archer,2.3,0,33,0,13.20,7,2,3,4,0,2nd Innings
T209933,RR Vs KKR,RR,Maheesh Theekshana,4,0,32,0,8.00,11,1,2,1,0,2nd Innings
T209933,RR Vs KKR,RR,Riyan Parag,4,0,25,0,6.25,7,1,1,0,0,2nd Innings
T209933,RR Vs KKR,RR,Sandeep Sharma,2,0,11,0,5.50,4,1,0,0,0,2nd Innings
T209933,RR Vs KKR,RR,Wanindu Hasaranga,3,0,34,1,11.33,2,4,1,0,0,2nd Innings
T209933,RR Vs KKR,RR,Nitish Rana,1,0,9,0,9.00,0,1,0,0,0,2nd Innings
T209933,RR Vs KKR,RR,Tushar Deshpande,1,0,7,0,7.00,2,1,0,0,0,2nd Innings
T209622,PBKS Vs GT,GT,Mohammed Siraj,4,0,54,0,13.50,10,7,3,3,0,1st Innings
T209622,PBKS Vs GT,GT,Kagiso Rabada,4,0,41,1,10.25,8,5,1,2,0,1st Innings
T209622,PBKS Vs GT,GT,Arshad Khan,1,0,21,0,21.00,1,3,1,1,0,1st Innings
T209622,PBKS Vs GT,GT,Rashid Khan,4,0,48,1,12.00,8,2,5,0,0,1st Innings
T209622,PBKS Vs GT,GT,Prasidh Krishna,3,0,41,0,13.66,6,4,3,0,0,1st Innings
T209622,PBKS Vs GT,GT,Sai Kishore,4,0,30,3,7.50,12,1,3,0,0,1st Innings
T209622,PBKS Vs GT,PBKS,Arshdeep Singh,4,0,36,2,9.00,11,2,3,0,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Azmatullah Omarzai,2,0,29,0,14.50,3,1,3,0,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Marco Jansen,4,0,44,1,11.00,6,4,2,1,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Glenn Maxwell,2,0,26,1,13.00,3,1,2,1,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Marcus Stoinis,2,0,31,0,15.50,3,2,3,0,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Yuzvendra Chahal,3,0,34,0,11.33,4,3,2,1,0,2nd Innings
T209622,PBKS Vs GT,PBKS,Vijaykumar Vyshak,3,0,28,0,9.33,7,2,1,5,0,2nd Innings
T208377,LSG Vs DC,DC,Mitchell Starc,4,0,42,3,10.50,9,4,3,0,0,1st Innings
T208377,LSG Vs DC,DC,Axar Patel,3,0,18,0,6.00,7,2,0,0,0,1st Innings
T208377,LSG Vs DC,DC,Vipraj Nigam,2,0,35,1,17.50,3,2,4,0,0,1st Innings
T208377,LSG Vs DC,DC,Mukesh Kumar,2,0,22,1,11.00,4,1,2,1,0,1st Innings
T208377,LSG Vs DC,DC,Kuldeep Yadav,4,0,20,2,5.00,15,2,1,0,0,1st Innings
T208377,LSG Vs DC,DC,Mohit Sharma,4,0,42,0,10.50,7,3,2,3,1,1st Innings
T208377,LSG Vs DC,DC,Tristan Stubbs,1,0,28,0,28.00,1,1,4,0,0,1st Innings
T208377,LSG Vs DC,LSG,Shardul Thakur,2,0,19,2,9.50,5,2,1,1,0,2nd Innings
T208377,LSG Vs DC,LSG,Manimaran Siddharth,4,0,39,2,9.75,9,3,3,0,0,2nd Innings
T208377,LSG Vs DC,LSG,Digvesh Rathi,4,0,31,2,7.75,10,4,0,1,0,2nd Innings
T208377,LSG Vs DC,LSG,Ravi Bishnoi,4,0,53,2,13.25,8,4,5,0,0,2nd Innings
T208377,LSG Vs DC,LSG,Prince Yadav,4,0,47,0,11.75,5,5,2,1,0,2nd Innings
T208377,LSG Vs DC,LSG,Shahbaz Ahmed,1.3,0,22,0,14.66,1,1,2,1,0,2nd Innings
T202965,MI Vs CSK,CSK,Khaleel Ahmed,4,0,29,3,7.25,15,3,2,0,1,1st Innings
T202965,MI Vs CSK,CSK,Sam Curran,1,0,13,0,13.00,2,3,0,0,0,1st Innings
T202965,MI Vs CSK,CSK,Nathan Ellis,4,0,38,1,9.50,6,3,1,1,0,1st Innings
T202965,MI Vs CSK,CSK,Ravichandran Ashwin,4,0,31,1,7.75,6,4,0,0,0,1st Innings
T202965,MI Vs CSK,CSK,Ravindra Jadeja,3,0,21,0,7.00,8,0,2,0,0,1st Innings
T202965,MI Vs CSK,CSK,Noor Ahmad,4,0,18,4,4.50,12,0,0,3,0,1st Innings
T202965,MI Vs CSK,MI,Trent Boult,3,0,27,0,9.00,4,3,0,1,0,2nd Innings
T202965,MI Vs CSK,MI,Deepak Chahar,2,0,18,1,9.00,5,2,1,0,0,2nd Innings
T202965,MI Vs CSK,MI,Satyanarayana Raju,1,0,13,0,13.00,0,2,0,1,0,2nd Innings
T202965,MI Vs CSK,MI,Mitchell Santner,2.1,0,24,0,11.07,5,2,2,0,0,2nd Innings
T202965,MI Vs CSK,MI,Will Jacks,4,0,32,1,8.00,7,0,2,1,0,2nd Innings
T202965,MI Vs CSK,MI,Vignesh Puthur,4,0,32,3,8.00,9,0,3,0,0,2nd Innings
T202965,MI Vs CSK,MI,Naman Dhir,3,0,12,0,4.00,7,0,0,0,0,2nd Innings
T209594,SRH Vs RR,RR,Fazalhaq Farooqi,3,0,49,0,16.33,3,6,3,0,0,1st Innings
T209594,SRH Vs RR,RR,Maheesh Theekshana,4,0,52,2,13.00,8,8,1,3,2,1st Innings
T209594,SRH Vs RR,RR,Jofra Archer,4,0,76,0,19.00,1,10,4,2,1,1st Innings
T209594,SRH Vs RR,RR,Sandeep Sharma,4,0,51,1,12.75,5,4,3,0,0,1st Innings
T209594,SRH Vs RR,RR,Nitish Rana,1,0,9,0,9.00,0,1,0,0,0,1st Innings
T209594,SRH Vs RR,RR,Tushar Deshpande,4,0,44,3,11.00,8,5,1,5,0,1st Innings
T209594,SRH Vs RR,SRH,Mohammed Shami,3,0,33,1,11.00,8,5,1,1,0,2nd Innings
T209594,SRH Vs RR,SRH,Simarjeet Singh,3,0,46,2,15.33,8,4,4,2,1,2nd Innings
T209594,SRH Vs RR,SRH,Pat Cummins,4,0,60,0,15.00,4,3,5,1,1,2nd Innings
T209594,SRH Vs RR,SRH,Abhishek Sharma,2,0,17,0,8.50,6,2,1,0,0,2nd Innings
T209594,SRH Vs RR,SRH,Adam Zampa,4,0,48,1,12.00,7,3,4,1,0,2nd Innings
T209594,SRH Vs RR,SRH,Harshal Patel,4,0,34,2,8.50,7,0,3,2,0,2nd Innings
T202861,KKR Vs RCB,RCB,Josh Hazlewood,4,0,22,2,5.50,16,3,1,0,0,1st Innings
T202861,KKR Vs RCB,RCB,Yash Dayal,3,0,25,1,8.33,7,3,1,0,0,1st Innings
T202861,KKR Vs RCB,RCB,Rasikh Salam,3,0,35,1,11.66,9,3,3,2,0,1st Innings
T202861,KKR Vs RCB,RCB,Krunal Pandya,4,0,29,3,7.25,8,2,1,1,0,1st Innings
T202861,KKR Vs RCB,RCB,Suyash Sharma,4,0,47,1,11.75,8,6,2,1,0,1st Innings
T202861,KKR Vs RCB,RCB,Liam Livingstone,2,0,14,0,7.00,2,1,0,0,0,1st Innings
T202861,KKR Vs RCB,KKR,Vaibhav Arora,3,0,42,1,14.00,4,7,1,1,0,2nd Innings
T202861,KKR Vs RCB,KKR,Spencer Johnson,2.2,0,31,0,13.28,7,3,3,0,0,2nd Innings
T202861,KKR Vs RCB,KKR,Varun Chakravarthy,4,0,43,1,10.75,7,5,2,0,0,2nd Innings
T202861,KKR Vs RCB,KKR,Harshit Rana,3,0,32,0,10.66,4,5,0,0,0,2nd Innings
T202861,KKR Vs RCB,KKR,Sunil Narine,4,0,27,1,6.75,5,1,1,0,0,2nd Innings
